Subject,Trial Number,Type of Action,Object Type,GestureCondition,Word Order,Exclude,Spatial Cue,Randomizer,Randomizer Set,Clipped Movie File,Event,Word Order.Recode,Exclude.Recode,Spatial Cue.Recode,Used ASL,"""Embodied"" in some way",Comments,Spatial.Cue.Katy
3,6,Transitive,Object,Free,SOV,,1,0.468018154,5,Spatial_Clipped_049,Girl pushes car,SOV,,0,,E,,NA
3,7,Intransitive,None,Free,SV,,0,0.468018154,5,Spatial_Clipped_049,Old lady jumps,SV,,0,,E,,NA
3,8,Transitive,Person,Free,SOSV,,1,0.468018154,5,Spatial_Clipped_049,Fireman pushes boy,SOV,,1,,E,,NA
3,9,Transitive,Object,Free,SOV,,1,0.54157484,5,Spatial_Clipped_050,Old lady elbows ball,SOV,,0,,E,,NA
3,10,Intransitive,None,Free,SV,,0,0.54157484,5,Spatial_Clipped_050,Car tumbles,SV,,0,,,,NA
3,11,Transitive,Object,Free,SOV,,1,0.54157484,5,Spatial_Clipped_050,Girl rubs heart,SOV,,0,,E,,NA
3,12,Transitive,Person,Free,SOV,,1,0.54157484,5,Spatial_Clipped_050,Boy lifts girl,SOV,,0,,E,,NA
3,13,Transitive,Object,Free,SOV,,1,0.808783585,5,Spatial_Clipped_051,Fireman throws star,SOV,,0,,E,,NA
3,14,Intransitive,None,Free,SV,,0,0.808783585,5,Spatial_Clipped_051,Ball rolls,SV,,0,,,,NA
3,15,Transitive,Person,Free,SOSV,,1,0.808783585,5,Spatial_Clipped_051,Girl elbows old lady,SOSV,,1,,E,,NA
3,16,Intransitive,None,Free,SV,,0,0.808783585,5,Spatial_Clipped_051,Boy skates,SV,,0,,E,,NA
3,17,Transitive,Person,Free,SOSV,,1,0.501977338,5,Spatial_Clipped_052,Fireman kicks girl,SOV,,1,,E,,NA
3,18,Transitive,Object,Free,SOV,,1,0.501977338,5,Spatial_Clipped_052,Old lady kisses star,SOSV,,0,,E,,NA
3,19,Transitive,Person,Free,SOSV,,1,0.501977338,5,Spatial_Clipped_052,Old lady rubs fireman,SOVO,X,1,,E,Repeated object,NA
3,20,Transitive,Person,Free,SOSOV,,1,0.501977338,5,Spatial_Clipped_052,Girl throws old lady,SOV,,1,,E,,NA
3,21,Intransitive,None,Free,SV,,0,0.614681456,5,Spatial_Clipped_053,Star jumps,SV,,0,,,,NA
3,22,Intransitive,None,Free,SV,,0,0.614681456,5,Spatial_Clipped_053,Fireman falls,SV,,0,,E,,NA
3,23,Intransitive,None,Free,SV,,0,0.614681456,5,Spatial_Clipped_053,Heart falls,SV,,0,,,,NA
3,24,Transitive,Object,Free,SOSV,,1,0.614681456,5,Spatial_Clipped_053,Boy pokes heart,SOV,,0,,E,,NA
3,25,Transitive,Object,Free,SOV,,1,0.007559926,5,Spatial_Clipped_054,Fireman lifts car,SOV,,0,,E,,NA
3,26,Transitive,Person,Free,SOSV,,1,0.007559926,5,Spatial_Clipped_054,Old lady pokes fireman,SOSV,,1,,E,,NA
3,27,Intransitive,None,Free,SV,,0,0.007559926,5,Spatial_Clipped_054,Girl tumbles,SV,,0,,E,,NA
3,28,Transitive,Person,Free,SOSOV,,1,0.007559926,5,Spatial_Clipped_054,Girl kisses boy,SOV,,0,,E,,NA
4,5,Transitive,Person,Case,OSV,,1,0.569972753,6,Spatial_Clipped_067,Girl kisses boy,OSV,,1,,,,NA
4,6,Intransitive,None,Case,SV,,0,0.569972753,6,Spatial_Clipped_067,Girl tumbles,SV,,1,,,,NA
4,7,Transitive,Person,Case,SOV,,1,0.569972753,6,Spatial_Clipped_067,Old lady pokes fireman,SOV,,1,,,,NA
4,8,Transitive,Object,Case,SOV,,1,0.569972753,6,Spatial_Clipped_067,Fireman lifts car,SOV,,1,,,,NA
4,9,Transitive,Object,Case,OSV,,1,0.00264577,6,Spatial_Clipped_068,Boy pokes heart,OSV,,1,,,,NA
4,10,Intransitive,None,Case,SV,,0,0.00264577,6,Spatial_Clipped_068,Heart falls,SV,,1,,,,NA
4,11,Intransitive,None,Case,SV,,0,0.00264577,6,Spatial_Clipped_068,Fireman falls,SV,,1,,,,NA
4,12,Intransitive,None,Case,SV,,0,0.00264577,6,Spatial_Clipped_068,Star jumps,SV,,1,,,,NA
4,13,Transitive,Person,Case,SOV,,1,0.946354104,6,Spatial_Clipped_069,Girl throws old lady,SOV,,1,,,,NA
4,14,Transitive,Person,Case,OSV,,1,0.946354104,6,Spatial_Clipped_069,Old lady rubs fireman,OSV,,1,,,,NA
4,15,Transitive,Object,Case,SOV,,1,0.946354104,6,Spatial_Clipped_069,Old lady kisses star,SOV,,1,,,,NA
4,16,Transitive,Person,Case,SOV,,1,0.946354104,6,Spatial_Clipped_069,Fireman kicks girl,SOV,,1,,,,NA
4,17,Intransitive,None,Case,SV,,0,0.466848486,6,Spatial_Clipped_070,Boy skates,SV,,1,,,,NA
4,18,Transitive,Person,Case,OSV,,1,0.466848486,6,Spatial_Clipped_070,Girl elbows old lady,OSV,,1,,,,NA
4,19,Intransitive,None,Case,SV,,0,0.466848486,6,Spatial_Clipped_070,Ball rolls,SV,,1,,,,NA
