"","Subject","Clipped.Movie.File","Trial.Number","GestureCondition","Object.Type","Sentence","Used.ASL","Final.Full.WordOrder","WordOrder","WordOrder.Classified","SpatialCue","Agent.Embod","Verb.Embod","Patient.Embod","WordOrder.Embod.Classified","ToInclude.Participant"
"151",6,"Spatial_Clipped_093",13,"Case","Object","Fireman throws star","","SOV","SOV","VerbLateral","Spatial.Present","1","0","0","NonAdjacent",1
"152",6,"Spatial_Clipped_093",15,"Case","Person","Girl elbows old lady","","SOV","SOV","VerbLateral","Spatial.Present","1","1","1","NonAdjacent",1
"153",6,"Spatial_Clipped_094",17,"Case","Person","Fireman kicks girl","","SOV","SOV","VerbLateral","Spatial.Present","1","0","1","NonAdjacent",1
"154",6,"Spatial_Clipped_094",18,"Case","Object","Old lady kisses star","","SOV","SOV","VerbLateral","Spatial.Present","1","0","0","NonAdjacent",1
"155",6,"Spatial_Clipped_094",19,"Case","Person","Old lady rubs fireman","","SOV","SOV","VerbLateral","Spatial.Present","1","0","1","NonAdjacent",1
"156",6,"Spatial_Clipped_094",20,"Case","Person","Girl throws old lady","","SOV","SOV","VerbLateral","Spatial.Present","1","0","1","NonAdjacent",1
"157",6,"Spatial_Clipped_095",24,"Case","Object","Boy pokes heart","","SOV","SOV","VerbLateral","Spatial.Present","1","0","0","NonAdjacent",1
"158",6,"Spatial_Clipped_096",25,"Case","Object","Fireman lifts car","","SOV","SOV","VerbLateral","Spatial.Present","1","0","0","NonAdjacent",1
"159",6,"Spatial_Clipped_096",26,"Case","Person","Old lady pokes fireman","","SOV","SOV","VerbLateral","Spatial.Present","1","0","1","NonAdjacent",1
"160",6,"Spatial_Clipped_096",28,"Case","Person","Girl kisses boy","","SOV","SOV","VerbLateral","Spatial.Present","1","0","1","NonAdjacent",1
"161",7,"Spatial_Clipped_097",5,"Free","Person","Girl kisses boy","","OSV","OSV","VerbLateral","Spatial.Absent","1","1","0","Adjacent",1
"162",7,"Spatial_Clipped_097",7,"Free","Person","Old lady pokes fireman","","OSV","OSV","VerbLateral","Spatial.Absent","1","1","1","Adjacent",1
"163",7,"Spatial_Clipped_097",8,"Free","Object","Fireman lifts car","","SV","SV","Unclassified","Spatial.Absent","1","1","0","Unclassified",1
"164",7,"Spatial_Clipped_098",9,"Free","Object","Boy pokes heart","","SOV","SOV","VerbLateral","Spatial.Absent","0","1","0","NonAdjacent",1
"165",7,"Spatial_Clipped_099",13,"Free","Person","Girl throws old lady","","SOV","SOV","VerbLateral","Spatial.Absent","1","1","1","NonAdjacent",1
"166",7,"Spatial_Clipped_099",14,"Free","Person","Old lady rubs fireman","","SV","SV","Unclassified","Spatial.Absent","1","1","0","Unclassified",1
"167",7,"Spatial_Clipped_099",15,"Free","Object","Old lady kisses star","","SOV","SOV","VerbLateral","Spatial.Absent","1","1","0","NonAdjacent",1
"168",7,"Spatial_Clipped_099",16,"Free","Person","Fireman kicks girl","","SOV","SOV","VerbLateral","Spatial.Absent","1","0","1","NonAdjacent",1
"169",7,"Spatial_Clipped_100",18,"Free","Person","Girl elbows old lady","","SV","SV","Unclassified","Spatial.Absent","1","1","0","Unclassified",1
