"","Subject","Trial.Number","GestureCondition","Type.of.Action","Object.Type","Word.Order","Exclude","Spatial.Cue","Randomizer","Randomizer.Set","Clipped.Movie.File","Event","Word.Order.Recode","Exclude.Recode","Spatial.Cue.Recode","Used.ASL","X.Embodied..in.some.way","Comments","Spatial.Cue.Katy","SpatialCue","Final.Full.WordOrder","SpatialCue.FinalDecision"
"924",7,9,"Case","Transitive","Object","OSV","",1,0.329592963,9,"Spatial_Clipped_104","Boy pokes heart","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"926",8,11,"Case","Transitive","Object","SOV","",1,0.482942514,10,"Spatial_Clipped_116","Girl rubs heart","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"928",8,12,"Case","Transitive","Person","OSV","",1,0.482942514,10,"Spatial_Clipped_116","Boy lifts girl","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"930",8,13,"Case","Transitive","Object","SOV","",1,0.680550151,10,"Spatial_Clipped_117","Fireman throws star","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"932",8,15,"Case","Transitive","Person","SOV","",1,0.680550151,10,"Spatial_Clipped_117","Girl elbows old lady","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"934",8,17,"Case","Transitive","Person","SOV","",1,0.597629046,10,"Spatial_Clipped_118","Fireman kicks girl","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"936",8,18,"Case","Transitive","Object","SOV","",1,0.597629046,10,"Spatial_Clipped_118","Old lady kisses star","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"938",8,19,"Case","Transitive","Person","SOV","",1,0.597629046,10,"Spatial_Clipped_118","Old lady rubs fireman","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"940",8,20,"Case","Transitive","Person","SOV","",1,0.597629046,10,"Spatial_Clipped_118","Girl throws old lady"," SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"942",8,24,"Case","Transitive","Object","SOV","",1,0.67591805,10,"Spatial_Clipped_119","Boy pokes heart","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"944",8,25,"Case","Transitive","Object","SOV","",1,0.433038004,10,"Spatial_Clipped_120","Fireman lifts car","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"946",8,26,"Case","Transitive","Person","OSV","",1,0.433038004,10,"Spatial_Clipped_120","Old lady pokes fireman","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"948",8,28,"Case","Transitive","Person","SOV","",1,0.433038004,10,"Spatial_Clipped_120","Girl kisses boy","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"950",8,5,"Case","Transitive","Object","SOV","",1,0.586164179,10,"Spatial_Clipped_115","Boy kicks ball","OSV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"952",8,6,"Case","Transitive","Object","SOV","",1,0.586164179,10,"Spatial_Clipped_115","Girl pushes car","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"953",8,8,"Case","Transitive","Person","SOV","",1,0.586164179,10,"Spatial_Clipped_115","Fireman pushes boy","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"955",8,9,"Case","Transitive","Object","SOV","",1,0.482942514,10,"Spatial_Clipped_116","Old lady elbows ball","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
